isn,ssn,uid,publicering,kode,cvrNummer,periodeStart,periodeSlut,xbrlDokument,pdfDokument
494612,0,X-3D7F2D7C-20150218_130855_642,TIL,R,81723028,1-10-2013,30-9-2014,X-3D7F2D7C-20150218_130855_642.xml,
494613,0,X-52BDB55E-20150219_103622_075,TIL,R,81445710,1-1-2014,31-12-2014,X-52BDB55E-20150219_103622_075.xml,
494614,0,X-C9E74AD0-20150220_135034_505,TIL,R,81220018,1-1-2014,31-12-2014,X-C9E74AD0-20150220_135034_505.xml,
494615,0,X-5838433A-20150220_101116_641,TIL,R,81197628,1-1-2014,31-12-2014,X-5838433A-20150220_101116_641.xml,
494616,0,X-16654E6E-20150220_113129_797,TIL,R,81097011,1-10-2013,30-9-2014,X-16654E6E-20150220_113129_797.xml,
494617,0,X-A8DFC454-20150220_151652_466,TIL,R,80610211,1-10-2013,30-9-2014,X-A8DFC454-20150220_151652_466.xml,
494618,0,X-7DCBEB12-20150218_182555_807,TIL,R,79099716,1-10-2013,30-9-2014,X-7DCBEB12-20150218_182555_807.xml,
494619,0,X-F7691F47-20150220_093151_379,TIL,R,78886315,1-10-2013,30-9-2014,X-F7691F47-20150220_093151_379.xml,
494620,0,X-5C6ED252-20150220_091111_840,TIL,R,78588810,1-10-2013,30-9-2014,X-5C6ED252-20150220_091111_840.xml,
494621,0,X-9FB582D0-20150218_124654_503,TIL,R,78472316,1-1-2014,31-12-2014,X-9FB582D0-20150218_124654_503.xml,
494622,0,X-887A8B06-20150218_133711_629,TIL,R,76918228,1-1-2014,31-12-2014,X-887A8B06-20150218_133711_629.xml,
494623,0,X-25C4BBD8-20150219_141715_416,TIL,R,76151911,1-10-2013,30-9-2014,X-25C4BBD8-20150219_141715_416.xml,
494624,0,X-25C4BBD8-20150219_135829_015,TIL,R,76062110,1-10-2013,30-9-2014,X-25C4BBD8-20150219_135829_015.xml,
494625,0,X-6541BB7E-20150219_090635_207,TIL,R,75898312,1-1-2014,31-12-2014,X-6541BB7E-20150219_090635_207.xml,
494626,0,X-B23A0838-20150220_130511_078,TIL,R,75172516,1-1-2014,31-12-2014,X-B23A0838-20150220_130511_078.xml,
494627,0,X-F674FFC7-20150220_161821_024,TIL,R,75146116,1-10-2013,30-9-2014,X-F674FFC7-20150220_161821_024.xml,
494628,0,X-57D8891F-20150218_114528_052,TIL,R,75106211,1-10-2013,30-9-2014,X-57D8891F-20150218_114528_052.xml,
494629,0,X-D58A6DB8-20150219_135912_777,TIL,R,75103611,1-10-2013,30-9-2014,X-D58A6DB8-20150219_135912_777.xml,
494630,0,X-9FB582D0-20150218_132422_516,TIL,R,74893716,1-10-2013,30-9-2014,X-9FB582D0-20150218_132422_516.xml,
494631,0,X-AFD5F447-20150219_170625_070,TIL,R,74497411,1-1-2014,31-12-2014,X-AFD5F447-20150219_170625_070.xml,
494632,0,X-7DCBEB12-20150219_183330_684,TIL,R,74154913,1-10-2013,30-9-2014,X-7DCBEB12-20150219_183330_684.xml,
494633,0,X-814A6E25-20150220_114832_113,TIL,R,74047912,1-10-2013,30-9-2014,X-814A6E25-20150220_114832_113.xml,
494634,0,X-28BA6227-20150220_140959_561,TIL,R,73989515,1-10-2013,30-9-2014,X-28BA6227-20150220_140959_561.xml,
494635,0,X-9FB582D0-20150218_133933_820,TIL,R,73608112,1-10-2013,30-9-2014,X-9FB582D0-20150218_133933_820.xml,
494636,0,X-A4CE2481-20150219_124915_122,TIL,R,73583217,1-1-2014,31-12-2014,X-A4CE2481-20150219_124915_122.xml,
494637,0,X-9A364577-20150220_130503_328,TIL,R,73555914,1-10-2013,30-9-2014,X-9A364577-20150220_130503_328.xml,
494638,0,X-19FAFD0D-20150220_162837_634,TIL,R,73262313,1-1-2014,31-12-2014,X-19FAFD0D-20150220_162837_634.xml,
494639,0,X-673AEB9D-20150219_092147_906,TIL,R,73094615,1-1-2014,31-12-2014,X-673AEB9D-20150219_092147_906.xml,
494640,0,X-79B1CACD-20150218_162733_892,TIL,R,71094316,1-10-2013,30-9-2014,X-79B1CACD-20150218_162733_892.xml,
494641,0,X-B0BE6859-20150219_170457_520,TIL,R,70578115,1-1-2014,31-12-2014,X-B0BE6859-20150219_170457_520.xml,
494642,0,X-77311EEB-20150220_134245_628,TIL,R,70414511,1-10-2013,30-9-2014,X-77311EEB-20150220_134245_628.xml,
494643,0,X-F674FFC7-20150220_160736_254,TIL,R,70395010,1-10-2013,30-9-2014,X-F674FFC7-20150220_160736_254.xml,
494644,0,X-4EE1E208-20150219_085025_676,TIL,R,70021714,1-1-2014,31-12-2014,X-4EE1E208-20150219_085025_676.xml,
494645,0,X-68695C3D-20150218_115817_752,TIL,R,69765017,1-10-2013,30-9-2014,X-68695C3D-20150218_115817_752.xml,
494646,0,X-CA2A2C98-20150220_120356_016,TIL,R,68697913,1-1-2014,31-12-2014,X-CA2A2C98-20150220_120356_016.xml,
494647,0,X-FE076052-20150220_173044_414,TIL,R,67324013,1-10-2013,30-9-2014,X-FE076052-20150220_173044_414.xml,
494648,0,X-A98F212E-20150219_094320_790,TIL,R,67271211,1-10-2013,30-9-2014,X-A98F212E-20150219_094320_790.xml,
494649,0,X-22D964D8-20150218_121216_199,TIL,R,66770613,1-10-2013,30-9-2014,X-22D964D8-20150218_121216_199.xml,
494650,0,X-8673CD8B-20150220_083603_280,TIL,R,66383210,1-10-2013,30-9-2014,X-8673CD8B-20150220_083603_280.xml,
494651,0,X-DEEC2589-20150218_204131_862,TIL,R,66211010,1-1-2014,31-12-2014,X-DEEC2589-20150218_204131_862.xml,
494652,0,X-2CC8BC6F-20150220_113428_869,TIL,R,65198711,1-10-2013,30-9-2014,X-2CC8BC6F-20150220_113428_869.xml,
494653,0,X-B4590CB7-20150220_154535_675,TIL,R,63651214,1-1-2014,31-12-2014,X-B4590CB7-20150220_154535_675.xml,
494654,0,X-F9BFA497-20150220_083626_018,TIL,R,62585412,1-1-2014,31-12-2014,X-F9BFA497-20150220_083626_018.xml,
494655,0,X-42B10FC7-20150220_124423_683,TIL,R,60365911,1-10-2013,30-9-2014,X-42B10FC7-20150220_124423_683.xml,
494656,0,X-66A9F678-20150218_142811_940,TIL,R,56449116,1-1-2014,31-12-2014,X-66A9F678-20150218_142811_940.xml,
494657,0,X-7DCBEB12-20150219_211118_345,TIL,R,55706611,1-10-2013,30-9-2014,X-7DCBEB12-20150219_211118_345.xml,
494658,0,X-E32BA660-20150220_104753_053,TIL,R,55105928,1-9-2013,31-8-2014,X-E32BA660-20150220_104753_053.xml,
494659,0,X-F29F18D6-20150219_085709_137,TIL,R,54982518,1-10-2013,30-9-2014,X-F29F18D6-20150219_085709_137.xml,
494660,0,X-37F87703-20150220_014931_287,TIL,R,54670117,1-10-2013,30-9-2014,X-37F87703-20150220_014931_287.xml,
494661,0,X-FA721ED9-20150220_094717_091,TIL,R,54511728,1-1-2014,31-12-2014,X-FA721ED9-20150220_094717_091.xml,
494662,0,X-32240E4D-20150218_140015_241,TIL,R,52617219,1-1-2014,31-12-2014,X-32240E4D-20150218_140015_241.xml,
494663,0,X-BDFB5AEC-20150218_131231_704,TIL,R,52143411,1-10-2013,30-9-2014,X-BDFB5AEC-20150218_131231_704.xml,
494664,0,X-21524C5E-20150219_114344_780,TIL,R,50942813,1-1-2014,31-12-2014,X-21524C5E-20150219_114344_780.xml,
494665,0,X-0A7DAE76-20150219_213639_734,TIL,R,50649210,1-10-2013,30-9-2014,X-0A7DAE76-20150219_213639_734.xml,
494666,0,X-7DCBEB12-20150219_183352_441,TIL,R,46743512,1-11-2013,31-10-2014,X-7DCBEB12-20150219_183352_441.xml,
494667,0,X-7DCBEB12-20150219_183321_051,TIL,R,46314514,1-10-2013,30-9-2014,X-7DCBEB12-20150219_183321_051.xml,
494668,0,X-B91B3B69-20150219_150214_623,TIL,R,46310918,1-1-2014,31-12-2014,X-B91B3B69-20150219_150214_623.xml,
494669,0,X-3F7F3F52-20150220_142847_139,TIL,R,46082818,1-10-2013,30-9-2014,X-3F7F3F52-20150220_142847_139.xml,
494670,0,X-BAC809CE-20150219_151423_357,TIL,R,44956918,1-10-2013,30-9-2014,X-BAC809CE-20150219_151423_357.xml,
494671,0,X-F7691F47-20150220_143653_960,TIL,R,43135414,1-10-2013,30-9-2014,X-F7691F47-20150220_143653_960.xml,
494672,0,X-FC117D03-20150220_151925_740,TIL,R,41910712,1-1-2014,31-12-2014,X-FC117D03-20150220_151925_740.xml,
494673,0,X-03928326-20150218_133109_966,TIL,R,41842911,1-9-2013,31-8-2014,X-03928326-20150218_133109_966.xml,
494674,0,X-35A35778-20150219_122500_322,TIL,R,40703713,1-1-2014,31-12-2014,X-35A35778-20150219_122500_322.xml,
494675,0,X-309937F4-20150219_132620_418,TIL,R,37010111,1-1-2014,31-12-2014,X-309937F4-20150219_132620_418.xml,
494676,0,X-CF0626BD-20150219_130832_178,TIL,R,36715715,1-10-2013,30-9-2014,X-CF0626BD-20150219_130832_178.xml,
494677,0,X-6AB233FF-20150219_152120_523,TIL,R,36459964,11-12-2014,31-12-2014,X-6AB233FF-20150219_152120_523.xml,
494678,0,X-6AB233FF-20150219_152038_658,TIL,R,36459948,11-12-2014,31-12-2014,X-6AB233FF-20150219_152038_658.xml,
494679,0,X-6AB233FF-20150219_151936_490,TIL,R,36459824,11-12-2014,31-12-2014,X-6AB233FF-20150219_151936_490.xml,
494680,0,X-4EE1E208-20150219_144820_255,TIL,R,36201851,1-10-2013,30-9-2014,X-4EE1E208-20150219_144820_255.xml,
494681,0,X-7EB6495E-20150220_184732_566,TIL,R,36087889,12-9-2014,31-12-2014,X-7EB6495E-20150220_184732_566.xml,
494682,0,X-4EE1E208-20150219_145717_473,TIL,R,36026987,1-1-2014,30-9-2014,X-4EE1E208-20150219_145717_473.xml,
494683,0,X-702143B3-20150218_172503_257,TIL,R,36021365,1-10-2013,30-9-2014,X-702143B3-20150218_172503_257.xml,
494684,0,X-7DCBEB12-20150219_195826_160,TIL,R,35890270,18-6-2014,31-12-2014,X-7DCBEB12-20150219_195826_160.xml,
494685,0,X-CD7AF3C3-20150219_130213_557,TIL,R,35865462,26-5-2014,31-12-2014,X-CD7AF3C3-20150219_130213_557.xml,
494686,0,X-DEEC2589-20150220_102152_397,TIL,R,35863656,2-6-2014,31-12-2014,X-DEEC2589-20150220_102152_397.xml,
494687,0,X-6BD9F774-20150219_113122_341,TIL,R,35851267,1-5-2014,31-12-2014,X-6BD9F774-20150219_113122_341.xml,
494688,0,X-90877FA1-20150218_133057_630,TIL,R,35847863,9-5-2014,30-9-2014,X-90877FA1-20150218_133057_630.xml,
494689,0,X-DEEC2589-20150220_102053_199,TIL,R,35840435,30-4-2014,31-12-2014,X-DEEC2589-20150220_102053_199.xml,
494690,0,X-22D964D8-20150219_140447_829,TIL,R,35836993,4-3-2014,30-11-2014,X-22D964D8-20150219_140447_829.xml,
494691,0,X-AAD470DF-20150219_163931_145,TIL,R,35832262,15-4-2014,31-12-2014,X-AAD470DF-20150219_163931_145.xml,
494692,0,X-918432F1-20150218_135235_989,TIL,R,35829016,1-4-2014,31-12-2014,X-918432F1-20150218_135235_989.xml,
494693,0,X-CD7AF3C3-20150219_125833_443,TIL,R,35828303,9-4-2014,31-12-2014,X-CD7AF3C3-20150219_125833_443.xml,
494694,0,X-CD7AF3C3-20150219_130011_174,TIL,R,35828192,9-4-2014,31-12-2014,X-CD7AF3C3-20150219_130011_174.xml,
494695,0,X-426CBD5D-20150220_130750_395,TIL,R,35827005,6-4-2014,31-12-2014,X-426CBD5D-20150220_130750_395.xml,
494696,0,X-0DD4BFA6-20150218_173914_083,TIL,R,35823182,1-1-2014,31-12-2014,X-0DD4BFA6-20150218_173914_083.xml,
494697,0,X-39BD120F-20150219_151233_694,TIL,R,35823069,27-3-2014,31-12-2014,X-39BD120F-20150219_151233_694.xml,
494698,0,X-FA3899EC-20150219_130958_112,TIL,R,35823034,3-4-2014,30-9-2014,X-FA3899EC-20150219_130958_112.xml,
494699,0,X-24D16F96-20150220_110108_367,TIL,R,35818464,1-4-2014,30-9-2014,X-24D16F96-20150220_110108_367.xml,
494700,0,X-0332DAA0-20150220_172256_168,TIL,R,35816585,31-3-2014,30-9-2014,X-0332DAA0-20150220_172256_168.xml,
494701,0,X-DEEC2589-20150220_102124_633,TIL,R,35810323,17-3-2014,31-12-2014,X-DEEC2589-20150220_102124_633.xml,
494702,0,X-66567F17-20150219_112753_344,TIL,R,35804242,1-1-2014,31-12-2014,X-66567F17-20150219_112753_344.xml,
494703,0,X-22D964D8-20150219_143021_883,TIL,R,35804072,4-3-2014,30-11-2014,X-22D964D8-20150219_143021_883.xml,
494704,0,X-F7691F47-20150220_162652_149,TIL,R,35801103,1-1-2014,31-12-2014,X-F7691F47-20150220_162652_149.xml,
494705,0,X-645EE63F-20150220_090316_801,TIL,R,35683755,28-2-2014,31-12-2014,X-645EE63F-20150220_090316_801.xml,
494706,0,X-D2DC6D8D-20150220_120947_652,TIL,R,35680772,10-3-2014,31-12-2014,X-D2DC6D8D-20150220_120947_652.xml,
494707,0,X-5753D84B-20150219_112149_540,TIL,R,35676228,5-3-2014,30-9-2014,X-5753D84B-20150219_112149_540.xml,
494708,0,X-5753D84B-20150219_112202_179,TIL,R,35675868,5-3-2014,30-9-2014,X-5753D84B-20150219_112202_179.xml,
494709,0,X-E09CD580-20150218_141019_603,TIL,R,35667881,12-2-2014,31-12-2014,X-E09CD580-20150218_141019_603.xml,
494710,0,X-4EE1E208-20150219_082907_258,TIL,R,35663363,13-2-2014,31-12-2014,X-4EE1E208-20150219_082907_258.xml,
494711,0,X-22D964D8-20150219_144856_531,TIL,R,35660194,6-2-2014,30-11-2014,X-22D964D8-20150219_144856_531.xml,
494712,0,X-67EABC19-20150220_144335_020,TIL,R,35655670,4-2-2014,31-12-2014,X-67EABC19-20150220_144335_020.xml,
494713,0,X-44550FCF-20150220_140642_656,TIL,R,35655069,3-2-2014,31-12-2014,X-44550FCF-20150220_140642_656.xml,
494714,0,X-4EE1E208-20150220_111618_549,TIL,R,35648518,24-1-2014,31-12-2014,X-4EE1E208-20150220_111618_549.xml,
494715,0,X-803BAAD8-20150219_081125_886,TIL,R,35642153,17-1-2014,30-9-2014,X-803BAAD8-20150219_081125_886.xml,
494716,0,X-645EE63F-20150220_092823_855,TIL,R,35637109,6-1-2014,31-12-2014,X-645EE63F-20150220_092823_855.xml,
494717,0,X-6D79F48B-20150220_080837_590,TIL,R,35634827,10-1-2014,31-12-2014,X-6D79F48B-20150220_080837_590.xml,
494718,0,X-3C68BA0B-20150219_142627_608,TIL,R,35632506,7-1-2014,31-12-2014,X-3C68BA0B-20150219_142627_608.xml,
494719,0,X-3C68BA0B-20150219_150235_072,TIL,R,35632468,7-1-2014,31-12-2014,X-3C68BA0B-20150219_150235_072.xml,
494720,0,X-E63E66F0-20150219_125721_293,TIL,R,35630821,7-1-2014,31-12-2014,X-E63E66F0-20150219_125721_293.xml,
494721,0,X-3EAC04BB-20150219_105029_759,TIL,R,35557628,1-10-2013,30-9-2014,X-3EAC04BB-20150219_105029_759.xml,
494722,0,X-18B324CC-20150218_154623_978,TIL,R,35533621,20-11-2013,30-9-2014,X-18B324CC-20150218_154623_978.xml,
494723,0,X-E4A8E0C1-20150219_133512_735,TIL,R,35532889,19-11-2013,31-12-2014,X-E4A8E0C1-20150219_133512_735.xml,
494724,0,X-C792BEA2-20150219_155259_684,TIL,R,35531130,14-11-2013,30-9-2014,X-C792BEA2-20150219_155259_684.xml,
494725,0,X-5753D84B-20150218_120234_520,TIL,R,35530681,14-11-2013,30-9-2014,X-5753D84B-20150218_120234_520.xml,
494726,0,X-7133441E-20150218_170621_181,TIL,R,35523316,30-10-2013,31-10-2014,X-7133441E-20150218_170621_181.xml,
494727,0,X-E1A18A53-20150219_110956_088,TIL,R,35523006,17-10-2013,31-10-2014,X-E1A18A53-20150219_110956_088.xml,
494728,0,X-E1A18A53-20150219_105240_938,TIL,R,35522964,17-10-2013,31-10-2014,X-E1A18A53-20150219_105240_938.xml,
494729,0,X-8B724998-20150220_102515_196,TIL,R,35516921,15-10-2013,31-12-2014,X-8B724998-20150220_102515_196.xml,
494730,0,X-FE9C6051-20150219_152642_276,TIL,R,35513787,9-10-2013,30-9-2014,X-FE9C6051-20150219_152642_276.xml,
494731,0,X-D38C4666-20150219_105543_323,TIL,R,35513698,1-1-2014,31-12-2014,X-D38C4666-20150219_105543_323.xml,
494732,0,X-C064F348-20150220_124332_735,TIL,R,35513582,9-10-2013,31-12-2014,X-C064F348-20150220_124332_735.xml,
494733,0,X-5B19B8F5-20150219_085040_385,TIL,R,35481605,25-9-2013,31-12-2014,X-5B19B8F5-20150219_085040_385.xml,
494734,0,X-7530C757-20150220_182942_457,TIL,R,35480587,19-9-2013,30-9-2014,X-7530C757-20150220_182942_457.xml,
494735,0,X-ECF59756-20150218_145501_448,TIL,R,35480099,25-9-2013,31-12-2014,X-ECF59756-20150218_145501_448.xml,
494736,0,X-7530C757-20150220_183017_626,TIL,R,35477810,18-9-2013,30-9-2014,X-7530C757-20150220_183017_626.xml,
494737,0,X-F85981E7-20150218_151028_223,TIL,R,35470565,27-8-2013,30-9-2014,X-F85981E7-20150218_151028_223.xml,
494738,0,X-0207B70F-20150220_143611_893,TIL,R,35469273,29-8-2013,30-9-2014,X-0207B70F-20150220_143611_893.xml,
494739,0,X-5753D84B-20150218_120246_622,TIL,R,35468102,29-8-2013,30-9-2014,X-5753D84B-20150218_120246_622.xml,
494740,0,X-0207B70F-20150220_144043_127,TIL,R,35467947,29-8-2013,30-9-2014,X-0207B70F-20150220_144043_127.xml,
494741,0,X-FA721ED9-20150218_110902_777,TIL,R,35418091,21-8-2013,31-12-2014,X-FA721ED9-20150218_110902_777.xml,
494742,0,X-DEEC2589-20150218_183210_231,TIL,R,35417338,22-8-2013,30-9-2014,X-DEEC2589-20150218_183210_231.xml,
494743,0,X-A7E0F522-20150218_110841_573,TIL,R,35414231,16-8-2013,31-12-2014,X-A7E0F522-20150218_110841_573.xml,
494744,0,X-2D125306-20150219_214412_516,TIL,R,35412336,1-1-2014,31-12-2014,X-2D125306-20150219_214412_516.xml,
494745,0,X-037CFA1F-20150219_103441_372,TIL,R,35409858,1-10-2013,30-9-2014,X-037CFA1F-20150219_103441_372.xml,
494746,0,X-7133441E-20150218_124129_998,TIL,R,35408630,1-8-2013,31-7-2014,X-7133441E-20150218_124129_998.xml,
494747,0,X-4C314F8D-20150218_120212_299,TIL,R,35399909,9-7-2013,31-12-2014,X-4C314F8D-20150218_120212_299.xml,
494748,0,X-FA721ED9-20150218_103848_335,TIL,R,35397787,9-7-2013,30-9-2014,X-FA721ED9-20150218_103848_335.xml,
494749,0,X-F3F6FD4E-20150219_163606_159,TIL,R,35394680,4-7-2013,31-12-2014,X-F3F6FD4E-20150219_163606_159.xml,
494750,0,X-77311EEB-20150220_134320_310,TIL,R,35393315,28-6-2013,30-9-2014,X-77311EEB-20150220_134320_310.xml,
494751,0,X-4EE1E208-20150220_160201_837,TIL,R,35391827,1-7-2013,31-12-2014,X-4EE1E208-20150220_160201_837.xml,
494752,0,X-4EE1E208-20150218_180538_149,TIL,R,35380647,1-1-2014,31-12-2014,X-4EE1E208-20150218_180538_149.xml,
494753,0,X-CBBC4EBC-20150220_105103_428,TIL,R,35256431,1-1-2014,31-12-2014,X-CBBC4EBC-20150220_105103_428.xml,
494754,0,X-B1F3A05F-20150218_123508_203,TIL,R,35253424,4-6-2013,30-9-2014,X-B1F3A05F-20150218_123508_203.xml,
494755,0,X-CBBC4EBC-20150220_110336_424,TIL,R,35251561,1-1-2014,31-12-2014,X-CBBC4EBC-20150220_110336_424.xml,
494756,0,X-5B5DE111-20150219_140334_850,TIL,R,35251480,29-5-2013,30-9-2014,X-5B5DE111-20150219_140334_850.xml,
494757,0,X-F454D476-20150218_153150_246,TIL,R,35251332,1-1-2014,31-12-2014,X-F454D476-20150218_153150_246.xml,
494758,0,X-032A1028-20150220_091315_401,TIL,R,35251324,1-1-2014,31-12-2014,X-032A1028-20150220_091315_401.xml,
494759,0,X-9CE5FC67-20150219_155357_788,TIL,R,35245421,1-10-2013,30-9-2014,X-9CE5FC67-20150219_155357_788.xml,
494760,0,X-9CE5FC67-20150219_154803_658,TIL,R,35245391,1-10-2013,30-9-2014,X-9CE5FC67-20150219_154803_658.xml,
494761,0,X-09CE2B86-20150218_171701_083,TIL,R,35240195,29-4-2013,30-9-2014,X-09CE2B86-20150218_171701_083.xml,
494762,0,X-3CA45ECD-20150220_091647_247,TIL,R,35239960,13-5-2013,30-9-2014,X-3CA45ECD-20150220_091647_247.xml,
494763,0,X-F87F9613-20150219_213307_937,TIL,R,35238417,1-1-2014,31-12-2014,X-F87F9613-20150219_213307_937.xml,
494764,0,X-4EE1E208-20150220_150654_231,TIL,R,35229876,1-1-2014,31-12-2014,X-4EE1E208-20150220_150654_231.xml,
494765,0,X-6160E1BA-20150218_153237_268,TIL,R,35228543,1-10-2013,30-9-2014,X-6160E1BA-20150218_153237_268.xml,
494766,0,X-417EF9B1-20150219_124200_321,TIL,R,35228462,15-4-2013,30-9-2014,X-417EF9B1-20150219_124200_321.xml,
494767,0,X-F74FC6BF-20150219_150408_841,TIL,R,35227806,1-1-2014,31-12-2014,X-F74FC6BF-20150219_150408_841.xml,
494768,0,X-997D396E-20150220_083328_655,TIL,R,35227547,1-1-2014,31-12-2014,X-997D396E-20150220_083328_655.xml,
494769,0,X-F7691F47-20150218_111646_386,TIL,R,35227431,15-4-2013,30-9-2014,X-F7691F47-20150218_111646_386.xml,
494770,0,X-F7691F47-20150218_110646_358,TIL,R,35227423,15-4-2013,30-9-2014,X-F7691F47-20150218_110646_358.xml,
494771,0,X-04960064-20150220_135824_804,TIL,R,35212825,1-10-2013,30-9-2014,X-04960064-20150220_135824_804.xml,
494772,0,X-8517B219-20150218_130954_780,TIL,R,35210091,1-9-2013,31-8-2014,X-8517B219-20150218_130954_780.xml,
494773,0,X-4EA90A2D-20150220_113409_424,TIL,R,35209921,1-1-2014,31-12-2014,X-4EA90A2D-20150220_113409_424.xml,
494774,0,X-09752B0C-20150220_162310_117,TIL,R,35209794,1-1-2014,31-12-2014,X-09752B0C-20150220_162310_117.xml,
494775,0,X-A9D34A1C-20150220_085116_280,TIL,R,35209778,4-4-2013,30-9-2014,X-A9D34A1C-20150220_085116_280.xml,
494776,0,X-8EA83F02-20150220_093849_497,TIL,R,35205853,1-1-2014,31-12-2014,X-8EA83F02-20150220_093849_497.xml,
494777,0,X-3C17DDDE-20150220_082058_304,TIL,R,35143343,1-1-2014,31-12-2014,X-3C17DDDE-20150220_082058_304.xml,
494778,0,X-C270AD32-20150219_085409_189,TIL,R,35140700,1-1-2014,31-12-2014,X-C270AD32-20150219_085409_189.xml,
494779,0,X-19FAFD0D-20150220_163440_490,TIL,R,35055010,1-1-2014,31-12-2014,X-19FAFD0D-20150220_163440_490.xml,
494780,0,X-72E04EB2-20150220_160121_819,TIL,R,35055002,1-1-2014,31-12-2014,X-72E04EB2-20150220_160121_819.xml,
494781,0,X-F7691F47-20150219_164154_138,TIL,R,35052348,1-1-2014,31-12-2014,X-F7691F47-20150219_164154_138.xml,
494782,0,X-ED9C33A7-20150219_143306_754,TIL,R,35050647,1-1-2014,31-12-2014,X-ED9C33A7-20150219_143306_754.xml,
494783,0,X-17980564-20150218_112312_055,TIL,R,35049983,1-1-2014,31-12-2014,X-17980564-20150218_112312_055.xml,
494784,0,X-803A5995-20150219_110032_500,TIL,R,35046968,1-1-2014,31-12-2014,X-803A5995-20150219_110032_500.xml,
494785,0,X-803A5995-20150219_102811_011,TIL,R,35046941,1-1-2014,31-12-2014,X-803A5995-20150219_102811_011.xml,
494786,0,X-8683676B-20150220_123230_468,TIL,R,35043829,1-1-2014,31-12-2014,X-8683676B-20150220_123230_468.xml,
494787,0,X-35FE6C4C-20150218_153507_178,TIL,R,35037721,1-2-2013,30-6-2014,X-35FE6C4C-20150218_153507_178.xml,
494788,0,X-18B324CC-20150218_152245_162,TIL,R,35034390,1-1-2014,30-9-2014,X-18B324CC-20150218_152245_162.xml,
494789,0,X-2E169A28-20150219_144346_867,TIL,R,35033009,1-1-2014,31-12-2014,X-2E169A28-20150219_144346_867.xml,
494790,0,X-A4C89E0E-20150220_150116_314,TIL,R,35032568,1-1-2014,31-12-2014,X-A4C89E0E-20150220_150116_314.xml,
494791,0,X-246B7444-20150220_105553_551,TIL,R,35027254,1-1-2014,31-12-2014,X-246B7444-20150220_105553_551.xml,
494792,0,X-5F7E7363-20150219_113238_889,TIL,R,34900841,1-1-2014,31-12-2014,X-5F7E7363-20150219_113238_889.xml,
494793,0,X-99552E32-20150220_154330_965,TIL,R,34899967,1-1-2014,31-12-2014,X-99552E32-20150220_154330_965.xml,
494794,0,X-99552E32-20150220_154419_493,TIL,R,34899088,1-1-2014,31-12-2014,X-99552E32-20150220_154419_493.xml,
494795,0,X-DFEEE756-20150219_164253_551,TIL,R,34894345,1-9-2013,31-8-2014,X-DFEEE756-20150219_164253_551.xml,
494796,0,X-5F7E7363-20150219_114401_295,TIL,R,34893640,1-1-2014,31-12-2014,X-5F7E7363-20150219_114401_295.xml,
